index,accuracy
8,0.9615462818391317
13,0.9615462402465913
4,0.9615418314933777
10,0.9615458860827613
15,0.9615461784318126
9,0.9615462642253546
24,0.961546657784152
25,0.9615461823608524
21,0.9615456313744672
20,0.9615462201031604
0,0.9615462767110701
6,0.9615457387995129
3,0.961546181094631
7,0.9615453477813536
11,0.9615461384644639
1,0.9615457969879014
22,0.9615462617095825
17,0.961538553237915
12,0.961544930934906
23,0.9615450501441956
18,0.9615395665168762
2,0.9615375399589539
16,0.961538553237915
19,0.9615397453308105
5,0.9615387916564941
14,0.9615383744239807
