index,accuracy
CUR,0.9615418314933777
NUM,0.9615458860827613
N,0.9615462818813824
PREP+ART,0.9615461784318126
NPROP,0.9615462642253546
PREP,0.961546231459768
PU,0.961546657784152
V,0.9615461823608524
PROADJ,0.9615456313744672
PRO-KS,0.9615462201031604
ADJ,0.9615462767110701
KC,0.9615457387995129
ART,0.961546181094631
KS,0.9615453477813536
PCP,0.9615461384644639
ADV,0.9615457969879014
PROPESS,0.9615462617095825
PREP+PROADJ,0.961538553237915
PDEN,0.961544930934906
PROSUB,0.9615450501441956
PREP+PROPESS,0.9615395665168762
ADV-KS,0.9615375399589539
PREP+PRO-KS,0.961538553237915
PREP+PROSUB,0.9615397453308105
IN,0.9615387916564941
PREP+ADV,0.9615383744239807
