index,accuracy
8,0.9615384340286255
13,0.9268562764628105
4,0.9609604840190793
10,0.9087548579177986
15,0.8814561173179578
9,0.7614070956167142
24,0.9590652984454895
25,0.9615384340286255
21,0.9182342132413723
20,0.9615337877752816
0,0.9466033234285256
6,0.9295587410531674
3,0.9101854864085954
7,0.9615384340286255
11,0.9609518948418284
1,0.9613441303335958
22,0.9615384340286255
17,0.8803386617062697
12,0.961272263471918
23,0.9615384340286255
18,0.9601506412643748
2,0.9615384340286255
16,0.9615384383706858
19,0.961465033866067
5,0.9584438293829731
14,0.9615384340286255
