index,accuracy
9,0.9615384012815306
24,0.9615387881587547
20,0.9615383787586022
25,0.9615383882707395
8,0.9615383758534293
0,0.9615383757566676
6,0.9615384099311479
13,0.9615384184049085
3,0.9850987068366972
10,0.9818941893693994
15,0.9766960904146678
21,0.9847181309478749
7,0.9615384044258796
11,0.9615384561126167
1,0.9615384072066973
22,0.961538376552201
17,0.992767333984375
12,0.961538553237915
23,0.9615386128425598
18,0.9615388512611389
4,0.9615387916564941
2,0.9615387916564941
16,0.9615387916564941
19,0.9615387916564941
5,0.9615387916564941
14,0.9615387916564941
