index,accuracy
4,0.9615387916564941
10,0.9809060469546041
8,0.9615383756827417
15,0.9766942265362989
9,0.9615378550153862
13,0.9615052760636316
24,0.9615387748591989
25,0.9615383848136227
21,0.984716091666858
20,0.9615383787586022
0,0.9615348851688371
6,0.9614869621094514
3,0.9850987160254522
7,0.9615384044258796
11,0.961538483342162
1,0.9615384072066973
22,0.961538376552201
17,0.992767333984375
12,0.961538553237915
23,0.9615386128425598
18,0.9615388512611389
2,0.9615387916564941
16,0.9615387916564941
19,0.9615387916564941
5,0.9615387916564941
14,0.9615387916564941
