index,accuracy
13,0.9628815743852395
4,0.9615384341153022
10,0.9736646619914341
8,0.9614955671564226
15,0.9654990940027202
9,0.8384337634257801
24,0.9579911061564194
25,0.9615384340286255
21,0.98146947471784
20,0.9615337877752816
0,0.9618753999933118
6,0.9557438583173788
3,0.984471771531053
7,0.9615384340286255
11,0.9615919876282008
1,0.9613629339817418
22,0.960800403294298
17,0.9768369651552457
12,0.9613432420853788
23,0.9613272455951918
18,0.9519230496023119
2,0.9615384340286255
16,0.9615384383706858
19,0.9557398375664049
5,0.9582227783641596
14,0.9615384340286255
